Customer ID,Age,Gender,Item Purchased,Category,purchase amount(INR),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
26,18,Male,Hoodie,Clothing,2125,Telangana,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,Google Pay,Annually
27,38,Male,Jewelry,Accessories,1700,West Bengal,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,56,Male,Shorts,Clothing,4760,Karnataka,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Net Banking,Every 3 Months
29,54,Male,Handbag,Accessories,7990,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,Google Pay,Every 3 Months
30,31,Male,Dress,Clothing,4080,Kerala,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,57,Male,Jewelry,Accessories,2635,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly
32,33,Male,Dress,Clothing,6715,Kerala,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,PhonePe,Monthly
33,36,Male,Jacket,Outerwear,5695,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,PhonePe,Annually
34,54,Male,Pants,Clothing,3230,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
35,36,Male,T-shirt,Clothing,7735,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,Google Pay,Quarterly
36,54,Male,Blouse,Clothing,2805,Telangana,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly
37,35,Male,T-shirt,Clothing,5865,Bihar,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,Google Pay,Fortnightly
38,35,Male,Jeans,Clothing,3825,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Google Pay,Weekly
39,29,Male,Dress,Clothing,3145,Tamil Nadu,M,Red,Winter,,Yes,2-Day Shipping,Yes,Yes,44,PhonePe,Every 3 Months
40,70,Male,Pants,Clothing,5100,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly
41,69,Male,Handbag,Accessories,6460,Punjab,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly
42,67,Male,Scarf,Accessories,3315,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,PhonePe,Annually
43,20,Male,Coat,Outerwear,8500,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,Google Pay,Annually
44,25,Male,Scarf,Accessories,5865,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,Google Pay,Fortnightly
45,39,Male,Hat,Accessories,4505,Karnataka,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,Google Pay,Weekly
46,50,Male,Socks,Clothing,1785,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,Google Pay,Annually
47,57,Male,Shirt,Clothing,3655,Andhra Pradesh,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly
48,55,Male,Jewelry,Accessories,4590,Maharastra,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly
49,42,Male,Shirt,Clothing,4675,West Bengal,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly
50,68,Male,Hoodie,Clothing,2550,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly
51,49,Male,Blouse,Clothing,2380,Maryland,M,Red,Spring,,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly
52,59,Male,Skirt,Clothing,5015,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly
53,42,Male,T-shirt,Clothing,1700,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly
54,29,Male,Skirt,Clothing,2040,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly
55,47,Male,Coat,Outerwear,7990,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly
56,40,Male,Jacket,Outerwear,2380,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually
57,41,Male,Backpack,Accessories,6205,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly
58,21,Male,Coat,Outerwear,5440,Kerala,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly
59,69,Male,Hoodie,Clothing,4590,Haryana,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,PhonePe,Monthly
60,63,Male,Belt,Accessories,6715,Punjab,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly
61,50,Male,Sweater,Clothing,3145,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly
62,55,Male,Scarf,Accessories,5780,Telangana,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months
63,30,Male,Sneakers,Footwear,1785,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly
64,33,Male,Sunglasses,Accessories,6715,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly
65,65,Male,Boots,Footwear,7055,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly
66,65,Male,Backpack,Accessories,3060,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,PhonePe,Every 3 Months
67,31,Male,Blouse,Clothing,7990,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,PhonePe,Every 3 Months
68,45,Male,Coat,Outerwear,2805,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly
69,57,Male,Handbag,Accessories,3910,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months
70,48,Male,Belt,Accessories,5950,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly
71,22,Male,Belt,Accessories,2465,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months
72,36,Male,Dress,Clothing,4080,Kerala,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Net Banking,Annually
73,18,Male,Dress,Clothing,2210,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Net Banking,Every 3 Months
74,48,Male,Pants,Clothing,7225,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Net Banking,Bi-Weekly
75,49,Male,Gloves,Accessories,4930,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly
76,64,Male,Scarf,Accessories,7225,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually
77,50,Male,Hat,Accessories,3655,Gujarat,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,PhonePe,Monthly
78,22,Male,Dress,Clothing,4505,Gujarat,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly
79,50,Male,Skirt,Clothing,7735,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,PhonePe,Fortnightly
80,38,Male,Jacket,Outerwear,8160,Assam,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Net Banking,Every 3 Months
81,19,Male,Sandals,Footwear,6120,New York,XL,Blue,Summer,,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months
82,67,Male,Shoes,Footwear,8160,Kerala,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months
83,19,Male,Pants,Clothing,2380,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months
84,36,Male,Dress,Clothing,3400,Telangana,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Net Banking,Weekly
85,52,Male,Coat,Outerwear,2720,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Net Banking,Every 3 Months
86,53,Male,Sunglasses,Accessories,8075,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly
87,24,Male,Hoodie,Clothing,3485,West Bengal,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly
88,52,Male,Shoes,Footwear,4505,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly
89,33,Male,T-shirt,Clothing,3995,Kerala,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly
90,47,Male,Jacket,Outerwear,7055,Andhra Pradesh,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly
91,25,Male,Hat,Accessories,4080,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly
92,44,Male,Scarf,Accessories,8415,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months
93,61,Male,Jacket,Outerwear,7395,Telangana,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,PhonePe,Every 3 Months
94,37,Male,Sweater,Clothing,5270,Tamil Nadu,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
95,58,Male,Skirt,Clothing,6460,West Bengal,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly
96,37,Male,Sneakers,Footwear,8500,Haryana,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,Google Pay,Monthly
97,32,Male,Gloves,Accessories,6205,Gujarat,S,Gold,Spring,,Yes,Express,Yes,Yes,43,PhonePe,Every 3 Months
98,21,Male,Shoes,Footwear,7820,Kerala,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually
99,20,Male,Jeans,Clothing,5695,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Net Banking,Annually
100,26,Male,Hoodie,Clothing,3400,Haryana,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly
101,62,Male,Sunglasses,Accessories,8330,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly
102,27,Male,Coat,Outerwear,7225,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly
103,51,Male,Socks,Clothing,5695,Odisha,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly
104,54,Male,Boots,Footwear,7565,Kerala,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,PhonePe,Bi-Weekly
105,55,Male,Sunglasses,Accessories,2040,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,Google Pay,Monthly
106,69,Male,Backpack,Accessories,8160,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Net Banking,Annually
107,64,Male,Jacket,Outerwear,2975,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly
108,28,Male,Sneakers,Footwear,5695,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,Google Pay,Fortnightly
109,70,Male,Socks,Clothing,6715,Maharastra,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Net Banking,Bi-Weekly
110,58,Male,T-shirt,Clothing,7225,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Net Banking,Fortnightly
111,56,Male,Backpack,Accessories,2210,New York,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,PhonePe,Fortnightly
112,26,Male,Belt,Accessories,6375,Telangana,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually
113,37,Male,Gloves,Accessories,5525,Tamil Nadu,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,Google Pay,Bi-Weekly
114,44,Male,Hat,Accessories,4590,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,Google Pay,Quarterly
115,70,Male,Coat,Outerwear,8075,Telangana,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly
116,53,Male,Skirt,Clothing,7990,Kerala,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months
117,55,Male,Shoes,Footwear,7310,Kerala,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,PhonePe,Annually
118,50,Male,Sandals,Footwear,2720,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly
119,50,Male,Sweater,Clothing,3825,Karnataka,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
120,38,Male,Coat,Outerwear,6460,Kerala,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually
121,64,Male,Hat,Accessories,7140,Kerala,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Net Banking,Annually
122,19,Male,Shorts,Clothing,6120,Kerala,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly
123,40,Male,Backpack,Accessories,3400,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly
124,57,Male,Sweater,Clothing,7565,Punjab,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly
125,44,Male,Sweater,Clothing,7310,West Bengal,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,Google Pay,Annually
126,49,Male,Shorts,Clothing,4590,Andhra Pradesh,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,PhonePe,Every 3 Months
127,43,Male,Shorts,Clothing,3060,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months
128,24,Male,Sweater,Clothing,7565,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly
129,20,Male,Scarf,Accessories,2720,Andhra Pradesh,M,Gold,Spring,4.7,Yes,Standard,Yes,Yes,21,Credit Card,Fortnightly
130,24,Male,Dress,Clothing,5695,Pennsylvania,XL,Olive,Summer,4.2,Yes,2-Day Shipping,Yes,Yes,49,Google Pay,Bi-Weekly
131,44,Male,Scarf,Accessories,3315,Karnataka,L,Violet,Fall,3.7,Yes,Next Day Air,Yes,Yes,13,Google Pay,Fortnightly
132,28,Male,Skirt,Clothing,2465,Andhra Pradesh,L,Indigo,Summer,3.9,Yes,Standard,Yes,Yes,46,Credit Card,Weekly
133,30,Male,Backpack,Accessories,4930,New Mexico,M,Orange,Fall,4.7,Yes,2-Day Shipping,Yes,Yes,42,Google Pay,Weekly
134,52,Male,Sweater,Clothing,5525,Maharastra,M,Violet,Winter,2.5,Yes,Next Day Air,Yes,Yes,25,PhonePe,Annually
135,43,Male,Hat,Accessories,7990,Telangana,L,Gray,Fall,4.9,Yes,Store Pickup,Yes,Yes,25,Cash,Monthly
136,43,Male,Sandals,Footwear,6885,Kansas,M,Purple,Fall,4.1,Yes,Express,Yes,Yes,12,Google Pay,Quarterly
137,39,Male,Blouse,Clothing,7310,South Carolina,M,White,Winter,3.3,Yes,Free Shipping,Yes,Yes,4,Debit Card,Quarterly
138,68,Male,Sneakers,Footwear,3655,Colorado,M,Turquoise,Spring,4.7,Yes,Free Shipping,Yes,Yes,38,Google Pay,Weekly
139,68,Male,Skirt,Clothing,2465,Georgia,M,Maroon,Winter,4.4,Yes,Store Pickup,Yes,Yes,42,Net Banking,Weekly
140,49,Male,Coat,Outerwear,8075,Tamil Nadu,M,White,Fall,3.8,Yes,Store Pickup,Yes,Yes,30,PhonePe,Annually
141,63,Male,Shirt,Clothing,2380,North Carolina,L,Yellow,Fall,3.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Weekly
142,56,Male,Gloves,Accessories,3910,Kerala,M,Turquoise,Fall,4.9,Yes,Free Shipping,Yes,Yes,45,Google Pay,Weekly
143,37,Male,Jacket,Outerwear,4930,Nebraska,L,Violet,Fall,3.1,Yes,Free Shipping,Yes,Yes,33,Credit Card,Fortnightly
144,30,Male,Coat,Outerwear,4080,Haryana,M,Beige,Fall,2.7,Yes,Store Pickup,Yes,Yes,25,Google Pay,Quarterly
145,19,Male,Shoes,Footwear,3655,New Jersey,M,Silver,Fall,3.2,Yes,Express,Yes,Yes,25,Cash,Monthly
146,24,Male,Jewelry,Accessories,8075,Haryana,M,Teal,Fall,4.5,Yes,Standard,Yes,Yes,44,Debit Card,Quarterly
147,52,Male,Skirt,Clothing,2550,Colorado,S,Black,Fall,4,Yes,Standard,Yes,Yes,21,PhonePe,Fortnightly
148,63,Male,Shoes,Footwear,5440,Idaho,M,Purple,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,31,Net Banking,Fortnightly
149,37,Male,Gloves,Accessories,7650,Kerala,M,Gray,Fall,2.6,Yes,Store Pickup,Yes,Yes,47,Debit Card,Annually
150,38,Male,Pants,Clothing,6460,Gujarat,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,Google Pay,Monthly
151,35,Male,Boots,Footwear,8160,Andhra Pradesh,L,Cyan,Fall,4.9,Yes,Standard,Yes,Yes,17,Debit Card,Every 3 Months
152,28,Male,Sunglasses,Accessories,3995,North Dakota,L,Turquoise,Fall,4.5,Yes,Next Day Air,Yes,Yes,3,PhonePe,Annually
153,30,Male,Shirt,Clothing,7225,South Carolina,S,Brown,Summer,4.3,Yes,Express,Yes,Yes,42,PhonePe,Annually
154,69,Male,Hoodie,Clothing,4675,North Carolina,M,Maroon,Winter,3.2,Yes,Standard,Yes,Yes,22,Debit Card,Annually
155,41,Male,Dress,Clothing,8330,Odisha,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,21,PhonePe,Quarterly
156,63,Male,Socks,Clothing,6545,Andhra Pradesh,S,Olive,Spring,4.3,Yes,Free Shipping,Yes,Yes,21,Net Banking,Quarterly
157,35,Male,Shorts,Clothing,2210,Haryana,M,Lavender,Fall,4,Yes,Standard,Yes,Yes,40,Debit Card,Annually
158,36,Male,Hat,Accessories,5780,Vermont,S,Yellow,Fall,3,Yes,Next Day Air,Yes,Yes,1,Net Banking,Fortnightly
159,25,Male,Shirt,Clothing,6205,Connecticut,XL,Teal,Fall,4.1,Yes,Standard,Yes,Yes,50,Net Banking,Monthly
160,58,Male,Gloves,Accessories,2295,New Hampshire,M,Charcoal,Fall,3.8,Yes,Store Pickup,Yes,Yes,39,Net Banking,Every 3 Months
161,27,Male,Gloves,Accessories,1955,Telangana,M,Orange,Summer,4.6,Yes,Free Shipping,Yes,Yes,34,PhonePe,Monthly
162,65,Male,Backpack,Accessories,4165,North Dakota,M,Olive,Fall,3,Yes,Express,Yes,Yes,29,PhonePe,Fortnightly
163,54,Male,Sunglasses,Accessories,6290,Andhra Pradesh,M,Turquoise,Summer,3,Yes,Store Pickup,Yes,Yes,31,Google Pay,Bi-Weekly
164,54,Male,Skirt,Clothing,5695,Kerala,M,Purple,Summer,3.4,Yes,Standard,Yes,Yes,8,Debit Card,Weekly
165,59,Male,Handbag,Accessories,5525,Gujarat,S,Purple,Spring,2.6,Yes,Free Shipping,Yes,Yes,5,Credit Card,Fortnightly
166,42,Male,Handbag,Accessories,5100,Karnataka,S,Yellow,Winter,2.8,Yes,Store Pickup,Yes,Yes,7,Cash,Monthly
167,46,Male,Sneakers,Footwear,2635,Gujarat,XL,Indigo,Fall,4,Yes,Store Pickup,Yes,Yes,30,Cash,Monthly
168,33,Male,Gloves,Accessories,2295,Rajasthan,M,Green,Fall,4,Yes,Express,Yes,Yes,14,Credit Card,Every 3 Months
169,34,Male,Shoes,Footwear,6800,Punjab,M,Magenta,Summer,3,Yes,Express,Yes,Yes,5,Cash,Fortnightly
170,27,Male,Jacket,Outerwear,2550,West Bengal,S,Gold,Summer,3.3,Yes,Standard,Yes,Yes,3,Google Pay,Every 3 Months
171,52,Male,Shirt,Clothing,2125,Kerala,M,Maroon,Fall,2.6,Yes,Store Pickup,Yes,Yes,46,PhonePe,Bi-Weekly
172,29,Male,Shorts,Clothing,2975,Kerala,M,Blue,Summer,3.6,Yes,Store Pickup,Yes,Yes,4,Credit Card,Weekly
173,54,Male,Jewelry,Accessories,5695,Nebraska,M,Violet,Summer,3.9,Yes,Next Day Air,Yes,Yes,42,Credit Card,Bi-Weekly
174,25,Male,Hat,Accessories,3910,Hawaii,M,Turquoise,Fall,3.4,Yes,Standard,Yes,Yes,30,Cash,Annually
175,41,Male,Shoes,Footwear,2975,Vermont,L,Brown,Winter,3.5,Yes,Express,Yes,Yes,37,PhonePe,Annually
176,53,Male,Coat,Outerwear,7310,Odisha,L,Violet,Fall,2.8,Yes,Next Day Air,Yes,Yes,2,Net Banking,Annually
177,53,Male,Backpack,Accessories,6885,New Hampshire,L,Black,Spring,2.7,Yes,Next Day Air,Yes,Yes,30,Credit Card,Quarterly
178,21,Male,Hoodie,Clothing,3570,Kansas,L,Magenta,Fall,3.7,Yes,Next Day Air,Yes,Yes,47,Net Banking,Monthly
179,61,Male,Skirt,Clothing,3655,Idaho,L,Lavender,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,21,Google Pay,Quarterly
180,64,Male,Boots,Footwear,2635,Bihar,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9,Net Banking,Fortnightly
181,51,Male,Sandals,Footwear,6885,South Dakota,L,Green,Fall,3.3,Yes,Store Pickup,Yes,Yes,12,Debit Card,Fortnightly
182,32,Male,Pants,Clothing,5185,Telangana,M,Beige,Summer,4.7,Yes,Next Day Air,Yes,Yes,4,Net Banking,Weekly
183,38,Male,Gloves,Accessories,8160,Alabama,XL,Purple,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,Debit Card,Annually
184,58,Male,Skirt,Clothing,2465,Ohio,XL,Beige,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,26,Credit Card,Weekly
185,32,Male,Sneakers,Footwear,2805,Hawaii,L,Cyan,Spring,3,Yes,Express,Yes,Yes,40,Cash,Fortnightly
186,46,Male,T-shirt,Clothing,2720,Wisconsin,XL,Silver,Summer,4.5,Yes,Store Pickup,Yes,Yes,34,Net Banking,Fortnightly
187,39,Male,Backpack,Accessories,4760,Minnesota,S,Lavender,Summer,2.9,Yes,Standard,Yes,Yes,31,Debit Card,Annually
188,19,Male,Shoes,Footwear,7990,Georgia,S,Purple,Spring,3.3,Yes,Store Pickup,Yes,Yes,1,Net Banking,Bi-Weekly
189,50,Male,Hoodie,Clothing,4505,Rajasthan,M,Pink,Spring,3.1,Yes,Express,Yes,Yes,5,Net Banking,Bi-Weekly
190,36,Male,Blouse,Clothing,6970,Kerala,M,Maroon,Fall,4.4,Yes,Next Day Air,Yes,Yes,4,Credit Card,Weekly
191,65,Male,Coat,Outerwear,5950,Indiana,XL,Beige,Fall,3,Yes,Free Shipping,Yes,Yes,48,PhonePe,Quarterly
192,64,Male,Hat,Accessories,6460,Utah,M,Gray,Fall,3.9,Yes,Free Shipping,Yes,Yes,29,Cash,Every 3 Months
